ID,IS_NEW_APPLICANT,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6
17,1,5000,1,2,2,41,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0,5000,1,1,1,26,0,0,0,0,-1,-1,2241.57,2156.1,2004.64,1279.99,1942.13,2263.67,1166.78,2241.45,2046.82,827.5,1465.69,1549.64
19,1,5000,1,2,2,54,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0,20000,2,2,2,42,-1,-1,0,1,-1,0,7798.46,3015.23,4885.13,8662.64,3317.45,11272.87,5193.43,3162.35,3078.93,8801.82,1857.86,7537.65
21,0,50000,2,1,2,30,3,0,-1,0,1,0,17894.41,30122.21,30277.22,10292.83,28187.98,24338.55,10393.58,16006.54,15310.11,8849.89,14825.92,20347.78
22,1,15000,2,1,2,44,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0,10000,1,1,1,32,0,-1,1,0,0,0,2037.91,5370.32,4948.08,4553.06,3116.86,1790.48,1526.21,3441.33,4616.3,3728.28,1572.39,1374.39
24,0,50000,1,2,1,44,0,0,0,2,0,0,10990.65,6001.84,11839.47,6908.72,30236.92,17480.15,7760.02,4375.64,6859.66,6950.9,20865.81,13992.07
25,0,30000,2,3,2,47,-1,-1,-1,0,0,0,14947.72,8073.19,11137.88,17862.96,13118.84,12819.89,14827.29,4326.81,10285.3,13677.81,10406.6,6820.33
26,0,80000,2,1,2,39,-1,0,0,-1,0,0,29768.37,44606.77,30146.77,9797.34,45881.83,45655.45,17391.51,34839.96,23248.49,10120.52,25731.9,32218.07
27,1,30000,2,3,1,48,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0,20000,1,2,1,45,0,0,0,0,1,0,2169.47,8172.95,5805.98,2444.3,3909.46,6152.83,1195.25,5346.96,6067.48,1994.27,2873.75,4893.99
29,0,80000,1,1,1,22,0,1,0,0,0,0,48186.41,15204.94,10869.05,42599.36,17799.58,48668.3,29184.6,13900.01,6521.56,38695.46,13529.96,38960.42
30,0,100000,2,2,1,32,-1,-1,-1,0,0,0,26822.1,19847.91,16015.83,39376.42,47939.98,38817.6,17082.36,10467.87,14094.24,23440.61,50262.37,24443.28
31,0,10000,1,1,1,37,-1,0,0,0,0,2,2893.93,2455.12,6062.93,5054.35,6708.76,2251.36,2322.83,1246.31,5977.33,3043.23,3470.91,1313.01
32,1,80000,1,1,1,29,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0,15000,2,2,1,47,0,0,0,0,0,0,2286.73,5878.6,5709.84,2715.13,5720.17,3534.57,1845.04,3119.32,5527.27,2832.02,4322.31,3086.89
34,0,100000,1,1,1,39,-1,-1,1,1,-1,-1,21005.01,41827.49,47365.53,25181.69,34130.26,47739.71,15830.81,28292.77,32432.42,22484.63,24863.38,36312.8
35,0,5000,1,1,2,33,0,2,1,0,0,0,3462.62,2357.3,1987.32,1052.54,1619.49,1971.68,1837.72,1265.68,1146.7,563.46,1505.29,2013.2
36,0,100000,2,1,2,37,0,-1,0,-1,0,0,15082.03,26958.18,25870.94,37492.76,64098.57,56152.25,10001.2,26648.76,16002.83,21208.53,52576.92,56693.38
37,1,15000,1,1,1,27,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0,80000,2,1,1,34,0,1,0,0,0,1,42562.44,28262.25,36698.63,23958.38,9736.81,9511.07,28086.87,28637.81,31773.0,18902.19,8907.26,9530.02
39,1,10000,1,1,2,23,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,1,50000,1,2,1,42,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,1,50000,1,1,2,31,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,1,15000,2,2,1,35,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,1,30000,1,1,1,45,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0,20000,2,2,1,46,0,0,-1,0,0,-1,2748.84,10316.54,7645.4,2362.29,11289.19,10370.47,1842.55,7714.56,6406.89,1974.92,8592.69,5804.24
45,0,50000,2,2,1,37,0,0,0,-1,2,0,25043.08,14349.41,22280.81,26769.31,25358.27,28781.8,20239.11,11258.74,23087.4,18214.98,20197.37,24757.56
46,0,30000,2,2,2,39,1,0,0,1,1,0,5911.53,8543.74,18517.84,8474.0,10616.7,10589.86,5630.99,6743.8,10369.74,6359.4,8030.36,11082.9
47,0,20000,1,2,1,32,1,0,0,1,0,0,7608.21,3877.85,5589.33,13256.72,12877.3,11503.95,3839.73,3243.05,2893.59,8715.79,6962.02,6655.93
48,1,15000,1,2,1,34,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,1,10000,2,1,2,25,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0,30000,2,1,2,40,0,0,0,1,0,3,17651.53,16234.72,14068.59,19588.36,19025.55,13430.27,11687.35,11719.66,13737.73,11682.78,11375.41,8167.8
51,0,50000,1,1,1,25,0,0,0,0,1,0,5856.7,34825.79,23950.88,11052.88,9355.67,17525.66,3967.94,23465.88,24973.5,10126.96,5516.59,10270.34
52,0,30000,1,2,2,30,0,0,-1,0,1,0,12130.5,10442.48,13584.22,10232.97,3996.36,19943.95,12048.95,10373.65,11048.0,7058.22,3067.38,18650.37
53,1,30000,2,2,1,33,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0,100000,2,2,2,54,0,0,0,1,0,1,33334.03,20845.95,53090.23,10479.66,53458.02,20148.79,21369.02,21000.3,46759.46,6870.65,44962.3,20384.02
55,1,80000,1,2,2,39,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,1,15000,1,1,2,34,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,0,20000,2,2,2,27,0,0,0,0,2,0,4725.03,7952.89,12275.53,13077.15,12113.43,10944.93,3980.04,5890.7,12104.05,8519.28,8191.86,11340.15
58,0,20000,1,3,1,49,1,2,1,0,1,2,5912.63,4021.33,9485.5,9576.43,8055.26,6542.01,6099.13,2423.16,7453.28,5682.63,7290.81,3682.62
59,0,50000,1,1,1,32,-1,1,2,-1,1,0,17717.16,10840.46,12538.78,31914.18,33561.91,13336.47,17493.98,7533.44,9318.51,21815.52,25066.92,8573.83
60,1,50000,1,2,1,49,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,1,30000,2,2,1,52,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,0,30000,1,2,2,34,1,0,1,-1,0,0,14510.16,3453.59,8034.66,18268.3,6232.77,6663.48,10274.44,3055.23,5914.76,16645.62,6026.04,3527.76
63,1,20000,1,1,1,50,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,1,20000,1,2,2,42,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,0,10000,2,1,2,27,-1,0,0,0,3,0,3431.06,6728.95,4027.68,2650.02,6270.04,5572.09,3093.17,5187.49,3071.06,1445.01,3624.71,4285.93
66,1,80000,1,2,2,52,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,0,20000,1,1,2,30,1,0,-1,3,0,1,4994.75,5257.99,12079.11,12915.77,12629.84,2652.16,2771.17,5406.21,7356.87,11326.62,11201.09,2197.42
68,1,30000,2,2,1,37,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,1,80000,2,2,1,42,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,0,80000,1,2,1,36,0,0,0,0,-1,0,12943.58,42011.56,42238.84,35965.1,20592.86,53737.11,13191.18,25276.27,25499.89,36882.35,14634.08,51280.01
71,1,20000,1,1,2,22,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,1,15000,1,2,1,45,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,0,15000,2,2,2,39,3,1,-1,3,2,0,1693.78,4454.63,4425.23,5705.77,8952.52,7457.47,1146.41,4497.01,3195.3,4476.51,5511.11,5858.87
74,1,80000,1,3,2,36,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,1,50000,1,2,2,47,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,0,5000,1,1,1,29,1,0,0,-1,-1,0,3210.25,1210.91,1529.91,2580.64,2306.27,1309.27,2088.98,655.03,1360.48,2215.29,2396.02,1201.04
77,0,80000,1,3,1,24,0,0,0,0,0,1,8067.28,22723.01,18889.43,37075.37,38948.92,44041.38,5617.0,22510.86,16292.72,31826.77,30365.77,33601.89
78,0,20000,1,2,2,51,0,1,0,0,1,2,8386.6,9611.9,12448.8,3177.11,3652.78,12362.78,6892.67,10045.53,8346.39,2366.81,2657.48,7086.46
79,1,50000,2,1,2,34,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,0,5000,2,1,1,34,-1,2,2,0,3,0,3135.23,2105.51,2182.56,3443.9,2157.63,2786.27,2877.73,1090.31,1355.41,2184.88,1944.3,2405.55
81,0,10000,1,2,1,28,3,0,0,-1,1,1,2747.08,3499.09,5577.94,1386.68,2895.07,2995.02,1772.79,3616.44,4503.56,1426.72,2901.18,2069.62
82,0,5000,2,1,1,22,3,0,-1,-1,1,0,2071.31,2608.72,2121.02,754.05,3288.18,2128.59,1529.69,2480.45,1307.28,566.32,1736.49,2094.46
83,0,10000,1,3,1,44,3,-1,0,0,0,0,1671.36,3250.89,6152.19,1990.24,1049.93,2808.75,1093.78,2496.19,4464.22,2055.48,964.31,1491.69
84,0,15000,2,1,1,39,0,0,0,0,2,0,6611.12,1538.98,5592.75,1828.99,2464.91,2745.2,5592.6,1266.88,5731.01,1726.67,1674.47,1571.62
85,1,50000,1,2,2,48,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,0,5000,2,2,1,35,0,1,3,0,2,3,3470.96,2950.97,3261.62,1589.05,3350.98,1650.78,2307.31,2000.45,2579.2,1499.3,3283.01,923.03
87,0,15000,1,1,1,37,0,-1,0,-1,1,-1,7736.87,7463.13,1724.54,1659.16,1618.37,8150.57,4493.37,7740.39,1314.48,936.25,1377.05,6408.61
88,0,15000,2,2,2,34,0,0,0,-1,1,0,6831.46,7138.16,8101.31,8885.51,3504.49,2166.65,6394.63,6420.33,6205.24,7822.28,2972.99,1541.53
89,1,30000,2,1,1,28,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,0,20000,1,2,1,28,3,0,-1,0,0,1,4863.75,9796.91,3056.14,3123.02,12619.64,8028.36,4390.27,6051.89,2523.61,1790.19,8718.26,8292.54
91,1,20000,1,2,1,44,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,0,15000,1,2,1,32,-1,1,0,0,0,0,9661.98,5579.29,10237.99,6605.61,5370.25,5715.25,9249.76,4151.15,5463.64,4513.62,5147.94,4069.32
93,0,10000,1,1,2,30,0,1,0,-1,0,0,4330.7,2688.26,2986.03,1449.61,5637.19,2290.4,3962.15,1693.12,2154.55,1188.26,5833.47,1987.29
94,0,50000,1,1,1,46,0,0,0,3,0,1,24812.53,5006.45,30799.52,28114.03,28408.95,17885.16,13762.5,2888.64,25903.24,27659.39,22020.22,14958.21
95,1,30000,1,2,2,45,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,0,100000,1,2,1,31,-1,0,1,0,0,0,26272.37,13058.54,68225.47,54327.92,51758.79,17178.12,24609.87,12645.02,51230.09,40327.21,25912.73,12322.75
97,0,100000,2,1,1,45,0,0,-1,0,1,-1,41405.0,15549.41,16202.3,33348.88,67301.64,23318.6,29795.63,9828.15,11891.68,18088.72,47428.19,14132.55
98,0,100000,1,1,1,47,0,1,-1,0,1,-1,42759.03,39482.7,50427.87,63013.1,39614.38,38767.96,43610.84,34698.12,32898.15,31944.14,35369.6,22925.99
99,1,20000,2,1,1,24,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0,100000,1,1,1,35,1,0,1,0,0,0,36334.88,15300.98,35044.74,32094.9,68816.63,52491.87,29138.69,11189.2,31558.51,32600.84,68778.33,27811.83
